hemisphere,nday,min,q1,mean,median,q3,max
south,170,11.357,13.36,13.73675,13.785,14.175749999999999,15.186
south,171,11.488,13.658,13.90180487804878,13.889,14.333,15.401
south,172,11.536,13.6525,13.93345,13.95,14.39275,15.533
south,173,11.61,13.768,14.09709756097561,14.076,14.474,15.592
south,174,11.669,13.82475,14.125975,14.158000000000001,14.52725,15.645
south,175,11.727,14.006,14.280878048780488,14.304,14.626,15.796
south,176,11.846,14.072249999999999,14.3188,14.325,14.69425,15.907
south,177,11.894,14.185,14.454756097560976,14.436,14.784,15.984
south,178,11.917,14.17975,14.4656,14.503,14.8195,16.084
south,179,11.98,14.342,14.62990243902439,14.641,14.948,16.153
south,180,12.163,14.3545,14.64435,14.6725,14.9835,16.306
south,181,12.326,14.523,14.807853658536585,14.821,15.1,16.401
south,182,12.304,14.52775,14.8171,14.886500000000002,15.134,16.449
south,183,12.308,14.687,14.951243902439025,14.974,15.27,16.512
south,184,12.301,14.654499999999999,14.9561,14.9805,15.2795,16.601
south,185,12.332,14.885,15.106390243902439,15.084,15.417,16.627
south,186,12.363,14.786,15.11315,15.1495,15.456499999999998,16.627
south,187,12.505,15.038,15.268658536585367,15.291,15.585,16.632
south,188,12.667,14.93375,15.27325,15.283999999999999,15.65175,16.642
south,189,12.852,15.167,15.405073170731708,15.398,15.759,16.609
south,190,12.864,15.0825,15.429124999999999,15.431000000000001,15.83325,16.666
south,191,12.944,15.3,15.556341463414634,15.54,15.962,16.756
south,192,13.06,15.2955,15.594075,15.5795,15.91075,16.816
south,193,13.187,15.437,15.745170731707317,15.732,16.122,16.942
south,194,13.27,15.429,15.763175,15.8005,16.134999999999998,17.002
south,195,13.403,15.655,15.89209756097561,15.873,16.229,17.013
south,196,13.636,15.5795,15.910725,15.9265,16.26925,17.011
south,197,13.773,15.744,16.033560975609756,16.023,16.386,17.011
south,198,13.825,15.716999999999999,16.0517,16.0345,16.450499999999998,17.044
south,199,13.866,15.826,16.171829268292683,16.158,16.525,17.187
south,200,13.993,15.92925,16.21935,16.256500000000003,16.554499999999997,17.276
south,201,14.092,16.018,16.330609756097562,16.379,16.673,17.411
south,202,14.074,16.1085,16.389525,16.430500000000002,16.7185,17.52
south,203,14.118,16.233,16.49126829268293,16.476,16.814,17.639
south,204,14.196,16.21975,16.53285,16.5245,16.873250000000002,17.757
south,205,14.323,16.301,16.63241463414634,16.651,16.989,17.822
south,206,14.362,16.3385,16.65375,16.6655,17.0075,17.916
