hemisphere,nday,min,q1,mean,median,q3,max
north,157,10.965,11.566,11.954439024390243,11.882,12.411,12.834
north,158,10.926,11.486,11.8706,11.850999999999999,12.2765,12.863
north,159,10.93,11.403,11.860317073170732,11.854,12.311,12.854
north,160,10.871,11.314,11.770375,11.7685,12.196,12.721
north,161,10.829,11.275,11.75331707317073,11.723,12.239,12.733
north,162,10.778,11.15625,11.676275,11.677,12.16425,12.652
north,163,10.767,11.104,11.65690243902439,11.688,12.133,12.678
north,164,10.741,11.021,11.55575,11.5545,12.01125,12.487
north,165,10.64,10.963,11.53860975609756,11.523,12.044,12.652
north,166,10.588,10.86525,11.44185,11.4905,11.846,12.465
north,167,10.407,10.82,11.419439024390243,11.399,11.911,12.517
north,168,10.399,10.78875,11.32265,11.3265,11.8435,12.364
north,169,10.315,10.738,11.288341463414634,11.314,11.826,12.415
north,170,10.131,10.66875,11.191,11.217500000000001,11.69525,12.216
north,171,10.103,10.548,11.146829268292683,11.147,11.739,12.373
north,172,10.014,10.48225,11.0539,11.0595,11.605,12.111
north,173,9.97,10.411,11.029219512195121,10.965,11.693,12.243
north,174,9.814,10.2975,10.91305,10.838000000000001,11.52825,12.003
north,175,9.694,10.246,10.876829268292683,10.812,11.507,12.112
north,176,9.645,10.097999999999999,10.773675,10.677499999999998,11.37,12.013
north,177,9.501,10.018,10.725463414634147,10.737,11.39,11.977
north,178,9.328,9.8735,10.61385,10.536,11.317,11.896
north,179,9.231,9.854,10.563804878048781,10.601,11.267,11.875
north,180,9.257,9.7265,10.458875,10.479,11.088000000000001,11.787
north,181,9.022,9.56,10.294878048780488,10.33,10.992,11.571
north,182,8.943,9.479750000000001,10.16185,10.17,10.828,11.515
north,183,8.812,9.412,10.115317073170731,10.248,10.79,11.442
north,184,8.687,9.247250000000001,10.01205,10.0375,10.6825,11.398
north,185,8.646,9.14,9.948634146341464,10.053,10.58,11.344
north,186,8.596,9.04025,9.832,9.783000000000001,10.42425,11.261
north,187,8.431,8.972,9.759585365853658,9.754,10.375,11.165
north,188,8.262,8.877,9.665425,9.625,10.2695,11.233
north,189,8.059,8.795,9.602585365853658,9.655,10.271,11.043
north,190,8.077,8.69225,9.49365,9.479,10.09225,11.108
north,191,7.959,8.682,9.421073170731708,9.446,10.087,10.825
north,192,7.795,8.47825,9.31805,9.308499999999999,9.9075,11.088
north,193,7.716,8.369,9.216048780487805,9.254,9.933,10.723
north,194,7.482,8.29875,9.124475,9.16,9.727249999999998,10.913
north,195,7.317,8.253,9.035829268292684,9.136,9.696,10.603
north,196,7.241,8.11725,8.932775,8.9925,9.57875,10.767
north,197,7.1,8.054,8.854585365853659,9.022,9.492,10.333
north,198,6.971,7.93525,8.749525,8.835,9.43925,10.491
north,199,6.844,7.839,8.671463414634147,8.908,9.368,10.252
north,200,6.719,7.76125,8.572775,8.67,9.2915,10.214
north,201,6.6,7.68,8.496487804878049,8.695,9.213,10.058
north,202,6.465,7.6114999999999995,8.39125,8.5535,9.06375,10.076
north,203,6.335,7.461,8.315951219512195,8.461,9.097,9.906
north,204,6.295,7.39825,8.21895,8.361,8.927,9.911
north,205,6.297,7.327,8.159878048780488,8.298,8.851,9.744
north,206,6.226,7.25175,8.05455,8.128499999999999,8.845,9.655
north,207,6.241,7.168,8.010170731707317,8.086,8.777,9.556
north,208,6.156,7.06075,7.897225,7.9254999999999995,8.625,9.56
north,209,6.159,7.03,7.833073170731708,7.891,8.577,9.342
north,210,6.064,6.898750000000001,7.733725,7.7865,8.528500000000001,9.364
north,211,6.075,6.817,7.674365853658537,7.752,8.493,9.223
north,212,6.023,6.692,7.569675,7.5504999999999995,8.329,9.224
north,213,5.924,6.63,7.508341463414634,7.495,8.204,9
north,214,5.828,6.5605,7.415025,7.4185,8.257,9.046
north,215,5.78,6.499,7.359365853658537,7.472,8.198,8.859
north,216,5.595,6.40975,7.27745,7.293,8.12575,8.935
north,217,5.464,6.365,7.218073170731707,7.251,8.056,8.744
north,218,5.392,6.224,7.123475,7.1265,7.9704999999999995,8.731
north,219,5.385,6.196,7.080024390243903,7.064,7.912,8.642
north,220,5.256,6.145250000000001,7.002225,6.907,7.85625,8.638
north,221,5.088,6.024,6.936170731707317,6.898,7.757,8.544
north,222,5.098,5.95625,6.861075,6.8095,7.718,8.491
north,223,5.021,5.86,6.825780487804878,6.791,7.692,8.415
north,224,4.938,5.77675,6.7323,6.695,7.58125,8.378
north,225,4.889,5.752,6.697097560975609,6.721,7.535,8.348
north,226,4.724,5.7204999999999995,6.621675,6.665,7.46375,8.247
north,227,4.679,5.67,6.584512195121952,6.651,7.451,8.196
north,228,4.619,5.59875,6.517425,6.5495,7.41,8.163
north,229,4.545,5.62,6.481780487804878,6.607,7.377,8.172
north,230,4.52,5.54575,6.41505,6.4585,7.34525,8.031
north,231,4.405,5.547,6.36819512195122,6.511,7.292,8.041
north,232,4.313,5.517,6.335707317073171,6.492,7.223,7.995
north,233,4.275,5.462,6.271756097560976,6.425,7.21,7.945
north,234,4.216,5.368,6.253634146341463,6.344,7.188,7.918
north,235,4.105,5.416,6.178097560975609,6.302,7.102,7.878
north,236,4.006,5.236,6.165121951219512,6.284,7.151,7.822
north,237,3.912,5.106,6.090560975609756,6.224,7.02,7.752
north,238,3.906,5.066,6.077243902439024,6.215,6.981,7.667
north,239,3.785,5.037,6.019365853658536,6.181,6.976,7.628
north,240,3.758,5.023,5.998048780487805,6.058,6.957,7.614
north,241,3.691,5.057,5.9386829268292685,6.033,6.873,7.55
north,242,3.764,5.008,5.932365853658537,6.021,6.889,7.6
north,243,3.648,4.945,5.858170731707317,6.015,6.766,7.479
north,244,3.573,4.895,5.845926829268293,6.03,6.807,7.544
north,245,3.562,4.887,5.79480487804878,5.997,6.787,7.319
north,246,3.562,4.88,5.803,5.926,6.796,7.555
north,247,3.545,4.87,5.736073170731707,5.893,6.697,7.279
north,248,3.505,4.866,5.7550487804878045,5.917,6.746,7.533
north,249,3.451,4.813,5.7000975609756095,5.873,6.528,7.218
north,250,3.522,4.753,5.732414634146341,5.902,6.718,7.574
north,251,3.516,4.75,5.6852682926829265,5.927,6.509,7.212
north,252,3.492,4.758,5.714365853658537,5.887,6.701,7.56
north,253,3.452,4.763,5.657756097560975,5.83,6.501,7.269
north,254,3.416,4.749,5.692975609756098,5.809,6.658,7.557
north,255,3.417,4.748,5.647341463414634,5.791,6.558,7.276
north,256,3.399,4.7,5.700292682926829,5.84,6.686,7.543
north,257,3.408,4.692,5.6608780487804875,5.855,6.568,7.418
north,258,3.378,4.709,5.704585365853658,5.805,6.654,7.602
north,259,3.34,4.677,5.6596829268292685,5.784,6.62,7.53
north,260,3.408,4.703,5.7243658536585365,5.803,6.645,7.58
north,261,3.452,4.663,5.698243902439025,5.843,6.567,7.618
north,262,3.512,4.645,5.781195121951219,5.806,6.629,7.691
north,263,3.573,4.644,5.758024390243903,5.87,6.661,7.778
north,264,3.584,4.687,5.835024390243903,5.998,6.705,7.863
north,265,3.601,4.762,5.82170731707317,5.996,6.683,7.839
north,266,3.629,4.869,5.906512195121951,6.007,6.746,7.871
north,267,3.674,4.92,5.916560975609756,6.075,6.737,7.901
north,268,3.735,4.994,5.998878048780488,6.11,6.778,7.954
north,269,3.76,5.079,6.0067560975609755,6.125,6.9,8.099
north,270,3.803,5.148,6.099414634146341,6.169,6.964,8.211
north,271,3.86,5.179,6.107682926829268,6.201,7.033,8.194
north,272,3.894,5.212,6.211731707317073,6.296,7.084,8.172
north,273,3.945,5.356,6.301829268292683,6.441,7.261,8.194
north,274,4.112,5.4,6.444829268292683,6.484,7.405,8.359
north,275,4.138,5.432,6.46090243902439,6.572,7.534,8.387
north,276,4.151,5.495,6.585756097560975,6.643,7.67,8.659
north,277,4.235,5.543,6.608682926829268,6.764,7.65,8.619
north,278,4.297,5.63,6.730780487804878,6.829,7.825,8.827
north,279,4.383,5.737,6.767268292682926,6.911,7.893,8.819
north,280,4.481,5.91,6.899219512195122,6.985,8.011,9.025
north,281,4.572,5.962,6.947121951219512,6.958,8.013,8.885
north,282,4.626,6.122,7.07709756097561,7.003,8.145,9.12
north,283,4.776,6.194,7.118560975609756,7.076,8.136,9.179
north,284,4.963,6.292,7.273195121951219,7.144,8.445,9.267
north,285,5.006,6.396,7.328682926829268,7.36,8.397,9.429
north,286,5.125,6.506,7.485048780487805,7.582,8.591,9.4
north,287,5.173,6.553,7.538780487804878,7.688,8.57,9.608
north,288,5.241,6.691,7.686243902439024,7.875,8.791,9.528
north,289,5.261,6.851,7.758268292682927,7.982,8.805,9.797
north,290,5.328,7.041,7.91590243902439,8.111,9.046,9.725
north,291,5.365,7.17,7.976073170731707,8.275,8.999,9.836
north,292,5.39,7.269,8.106487804878048,8.431,9.194,9.897
north,293,5.402,7.403,8.162439024390244,8.566,9.168,9.847
north,294,5.457,7.556,8.309951219512195,8.529,9.312,9.986
north,295,5.518,7.608,8.38439024390244,8.569,9.347,10.067
north,296,5.638,7.665,8.51170731707317,8.642,9.498,10.085
north,297,5.754,7.664,8.584487804878048,8.852,9.468,10.198
north,298,5.895,7.841,8.684317073170732,8.912,9.522,10.024
north,299,5.976,8.02,8.779317073170732,9.007,9.511,10.423
north,300,6.07,8.183,8.882731707317074,9.044,9.676,10.259
north,301,6.245,8.301,8.944731707317073,9.124,9.722,10.564
north,302,6.526,8.406,9.050292682926829,9.177,9.857,10.317
north,303,6.697,8.486,9.125414634146342,9.193,9.903,10.615
north,304,6.921,8.699,9.27980487804878,9.336,10.021,10.549
north,305,7.219,8.774,9.367219512195122,9.424,10.144,10.817
north,306,7.424,8.891,9.452731707317072,9.51,10.198,10.737
north,307,7.558,8.968,9.502243902439025,9.557,10.159,10.893
north,308,7.675,8.972,9.589195121951219,9.576,10.337,10.883
north,309,7.862,9.016,9.635024390243903,9.708,10.243,11.131
north,310,8.029,9.119,9.716073170731708,9.794,10.412,10.874
north,311,8.168,9.169,9.756682926829269,9.809,10.336,11.03
north,312,8.251,9.298,9.870317073170732,9.916,10.53,11.031
north,313,8.417,9.391,9.914146341463415,9.936,10.47,11.203
north,314,8.471,9.456,10.000390243902439,9.939,10.653,11.172
north,315,8.56,9.526,10.047634146341464,9.967,10.647,11.348
north,316,8.649,9.582,10.150439024390243,10.048,10.908,11.484
north,317,8.653,9.636,10.186707317073171,10.096,10.794,11.573
north,318,8.721,9.735,10.283780487804878,10.124,10.903,11.741
north,319,8.73,9.807,10.329292682926829,10.215,10.9,11.792
north,320,8.804,9.904,10.41851219512195,10.274,10.972,11.735
north,321,8.698,9.966,10.44651219512195,10.335,11.041,11.774
north,322,8.585,10.058,10.531951219512194,10.403,11.123,11.802
north,323,8.584,10.117,10.568219512195123,10.486,11.157,11.81
north,324,8.692,10.207,10.668853658536586,10.537,11.273,11.907
north,325,8.9,10.264,10.722243902439024,10.674,11.352,11.986
north,326,8.989,10.28,10.807414634146342,10.696,11.417,11.98
north,327,9.058,10.291,10.862268292682927,10.785,11.512,12.103
north,328,9.188,10.405,10.974048780487804,10.862,11.615,12.253
north,329,9.291,10.545,11.030585365853659,10.942,11.681,12.273
north,330,9.489,10.64,11.125365853658536,11.029,11.675,12.288
north,331,9.635,10.673,11.184439024390244,11.092,11.832,12.483
north,332,9.726,10.828,11.269219512195122,11.151,11.882,12.476
north,333,9.796,10.829,11.316658536585367,11.181,11.944,12.695
north,334,9.913,11.038,11.502121951219513,11.387,12.249,12.769
